match_id,start_time
5715301412,1606251723
5714800008,1606227836
5714882207,1606230541
5715241709,1606247722
5713965115,1606175198
5715357804,1606256349
5715086308,1606239148
5714318507,1606206728
5715039517,1606236919
5714000516,1606179168
5715058910,1606237825
5714326017,1606207239
5713974612,1606176365
5715231305,1606247086
5714169910,1606195680
5715225906,1606246764
5714345505,1606208495
5715024019,1606236215
5715135106,1606241651
5715285910,1606250635
5713986211,1606177778
5714009604,1606180267
5714169608,1606195665
5714950206,1606233089
5714789217,1606227517
5714249019,1606202015
5714941608,1606232748
5715255800,1606248622
5714850814,1606229468
5714812717,1606228226
5715220919,1606246454
5714006516,1606179898
5714860115,1606229784
5714085014,1606188063
5714703812,1606224915
5715126602,1606241202
5714744611,1606226142
5714227818,1606200387
5714991410,1606234783
5715106717,1606240170
5714902715,1606231272
5713966108,1606175313
5715221014,1606246459
5715351204,1606255748
5715077316,1606238697
5714553102,1606219792
5714347105,1606208601
5715240209,1606247636
5714319608,1606206807
5715168104,1606243424
5714349619,1606208757
5715295508,1606251293
5714930900,1606232328
5715035915,1606236746
5714950009,1606233084
5714161714,1606195013
5714400409,1606212012
5715357217,1606256289
5714144410,1606193532
5714182217,1606196731
5714432519,1606213945
5714037917,1606183420
5714144415,1606193536
5715376703,1606258137
5714536300,1606219118
5714034515,1606183050
5715007212,1606235469
5714113115,1606190732
5714994111,1606234897
5714130304,1606192269
5715312715,1606252584
5714055010,1606185143
5715203418,1606245414
5714784705,1606227374
5715067712,1606238241
5714947506,1606232983
5715265815,1606249254
5714838311,1606229062
5714058914,1606185529
5715011509,1606235644
5715338003,1606254612
5713979512,1606176961
5714323110,1606207043
5714241618,1606201469
5715340508,1606254822
5715068315,1606238276
5714463811,1606215672
5715003312,1606235303
5715370909,1606257556
5715030102,1606236490
5715351317,1606255759
5714211506,1606199045
5715209818,1606245782
5715219316,1606246359
5715326811,1606253690
5715093806,1606239513
5714301204,1606205626
5715320608,1606253200
5715282107,1606250361
5714977105,1606234160
5714244819,1606201704
5714367712,1606209958
5714139309,1606193081
5715354615,1606256059
5714922503,1606232012
5714538405,1606219186
5714835508,1606228972
5714102100,1606189705
5714755419,1606226488
5714711006,1606225136
5714103917,1606189871
5714630417,1606222588
5714742804,1606226099
5715051106,1606237466
5715184517,1606244345
