match_id,hero_id,is_win
5708493008,6,1
5708493008,20,1
5708493008,101,1
5708493008,113,1
5708493008,129,1
5708859815,27,1
5708859815,28,1
5708859815,44,1
5708859815,48,1
5708859815,58,1
5708512019,39,1
5708512019,42,1
5708512019,51,1
5708512019,85,1
5708512019,86,1
5709363517,74,1
5709363517,86,1
5709363517,88,1
5709363517,93,1
5709363517,129,1
5708315714,26,1
5708315714,30,1
5708315714,41,1
5708315714,74,1
5708315714,109,1
5709148406,16,1
5709148406,63,1
5709148406,68,1
5709148406,106,1
5709148406,128,1
5708561301,29,1
5708561301,33,1
5708561301,41,1
5708561301,63,1
5708561301,74,1
5708444708,5,1
5708444708,6,1
5708444708,11,1
5708444708,21,1
5708444708,64,1
5708742611,10,1
5708742611,56,1
5708742611,86,1
5708742611,87,1
5708742611,108,1
5709193813,2,1
5709193813,14,1
5709193813,21,1
5709193813,84,1
5709193813,113,1
5708882017,6,1
5708882017,17,1
5708882017,20,1
5708882017,22,1
5708540617,17,1
5708540617,41,1
5708540617,64,1
5708540617,84,1
5708540617,104,1
5709243806,23,1
5709243806,27,1
5709243806,32,1
5709243806,55,1
5709243806,85,1
5709032913,17,1
5709032913,31,1
5709032913,32,1
5709032913,51,1
5709032913,104,1
5708920714,1,1
5708920714,5,1
5708920714,14,1
5708920714,22,1
5708920714,97,1
5708249308,1,1
5708249308,13,1
5708249308,26,1
5708249308,35,1
5708249308,60,1
5708566910,16,1
5708566910,37,1
5708566910,44,1
5708566910,90,1
5708566910,97,1
5708601011,4,1
5708601011,26,1
5708601011,44,1
5708601011,59,1
5708601011,64,1
5708837100,14,1
5708837100,18,1
5708837100,42,1
5708837100,68,1
5708837100,106,1
5709365308,25,1
5709365308,37,1
5709365308,44,1
5709365308,100,1
5709365308,108,1
5709400509,5,1
5709400509,25,1
5709400509,90,1
5709400509,93,1
5709400509,99,1
5709453203,4,1
5709453203,8,1
5709453203,22,1
5709453203,27,1
5709453203,84,1
5709453203,128,1
5708693903,28,1
5708693903,36,1
5708693903,48,1
5708693903,98,1
5708693903,105,1
5709025501,8,1
5709025501,17,1
5709025501,26,1
5709025501,60,1
5709025501,84,1
5708474608,8,1
5708474608,22,1
5708474608,27,1
5708474608,30,1
5708474608,96,1
5709487603,7,1
5709487603,21,1
5709487603,28,1
5709487603,64,1
5709487603,93,1
5708932508,30,1
5708932508,44,1
5708932508,67,1
5708932508,86,1
5708932508,104,1
5708420709,11,1
5708420709,41,1
5708420709,51,1
5708420709,86,1
5708420709,121,1
5709389217,6,1
5709389217,9,1
5709389217,74,1
5709389217,107,1
5709389217,129,1
5709094818,23,1
5709094818,25,1
5709094818,44,1
5709094818,53,1
5709094818,84,1
5709515008,50,1
5709515008,60,1
5709515008,74,1
5709515008,83,1
5709515008,109,1
5708144900,3,1
5708144900,10,1
5708144900,32,1
5708144900,85,1
5708144900,129,1
5709176912,44,1
5709176912,61,1
5709176912,100,1
5709176912,112,1
5709176912,126,1
5709264212,10,1
5709264212,21,1
5709264212,83,1
5709264212,93,1
5709264212,108,1
5709262302,21,1
5709262302,22,1
5709262302,30,1
5709262302,41,1
5709262302,51,1
5709353309,26,1
5709353309,35,1
5709353309,71,1
5709353309,87,1
5709353309,93,1
5708346907,12,1
5708346907,30,1
5708346907,35,1
5708346907,51,1
5708346907,53,1
5708375201,12,1
5708375201,31,1
5708375201,52,1
5708375201,55,1
5708375201,60,1
5708809018,12,1
5708809018,16,1
5708809018,39,1
5708809018,50,1
5708809018,58,1
5708823508,11,1
5708823508,26,1
5708823508,32,1
5708823508,71,1
5708823508,99,1
5708158404,18,1
5708158404,35,1
5708158404,73,1
5708158404,85,1
5708158404,99,1
5709229208,9,1
5709229208,11,1
5709229208,22,1
5709229208,67,1
5709229208,108,1
5708218800,4,1
5708218800,34,1
5708218800,81,1
5708218800,84,1
5708218800,105,1
5708858808,7,1
5708858808,44,1
5708858808,74,1
5708858808,97,1
5708797614,5,1
5708797614,11,1
5708797614,32,1
5708797614,43,1
5708797614,72,1
5709053517,25,1
5709053517,28,1
5709053517,63,1
5709053517,93,1
5709053517,121,1
5708428109,35,1
5708428109,40,1
5708428109,86,1
5708428109,87,1
5709272809,9,1
5709272809,14,1
5709272809,18,1
5709272809,35,1
5709272809,41,1
5709432112,2,1
5709432112,8,1
5709432112,18,1
5709432112,31,1
5709432112,84,1
5708543000,2,1
5708543000,22,1
5708543000,26,1
5708543000,56,1
5708543000,113,1
5709464615,21,1
5709464615,47,1
5709464615,93,1
5709464615,100,1
5709464615,104,1
5708982804,14,1
5708982804,21,1
5708982804,68,1
5708982804,87,1
5709397507,21,1
5709397507,54,1
5709397507,62,1
5709397507,100,1
5709397507,113,1
5709262106,20,1
5709262106,48,1
5709262106,69,1
5709262106,94,1
5709262106,119,1
5708282109,8,1
5708282109,27,1
5708282109,88,1
5708282109,101,1
5708282109,106,1
5708760314,1,1
5708760314,7,1
5708760314,11,1
5708760314,21,1
5708760314,45,1
5709343416,5,1
5709343416,7,1
5709343416,44,1
5709343416,49,1
5709343416,51,1
5709396111,14,1
5709396111,26,1
5709396111,72,1
5709396111,74,1
5709396111,104,1
5708333510,11,1
5708333510,19,1
5708333510,41,1
5708333510,87,1
5708333510,101,1
